DATE,MABMM301ZAM189S
2021-07-01,4195627341399.9995
2021-08-01,4238638071600.0005
2021-09-01,4263158625299.9995
2021-10-01,4265658316400.0005
2021-11-01,4340000243300.0
2021-12-01,4359684325500.0005
2022-01-01,4376912543400.0
2022-02-01,4410450241000.0
2022-03-01,4481723153300.0
2022-04-01,4459798780800.0
2022-05-01,4477155127100.0
2022-06-01,4497885335900.0
2022-07-01,4554351659800.0
2022-08-01,4588004352500.0
2022-09-01,4640815484200.0
2022-10-01,4673307687200.0
2022-11-01,4728945706500.0
2022-12-01,4720390068900.0
2023-01-01,4800418041300.0
2023-02-01,4879493908000.0
2023-03-01,4884048384100.0
2023-04-01,4909344457600.0
2023-05-01,4940261828600.0
2023-06-01,4999347608000.0
2023-07-01,4967592430200.0
2023-08-01,4978143604200.0
2023-09-01,4997624401100.0
2023-10-01,4967378623100.0
2023-11-01,4975477685600.0
