DATE,ZAFSLRTTO01MLM
2/1/2018,87701000000
3/1/2018,91618000000
4/1/2018,87236000000
5/1/2018,92511000000
6/1/2018,89348000000
7/1/2018,89074000000
8/1/2018,93882000000
9/1/2018,91615000000
10/1/2018,92765000000
11/1/2018,1.06983E+11
12/1/2018,1.27432E+11
1/1/2019,86812000000
2/1/2019,88985000000
3/1/2019,91853000000
4/1/2019,89698000000
5/1/2019,94335000000
6/1/2019,91723000000
7/1/2019,91067000000
8/1/2019,95103000000
9/1/2019,92199000000
10/1/2019,93484000000
11/1/2019,1.10099E+11
12/1/2019,1.27205E+11
1/1/2020,88073000000
2/1/2020,90750000000
3/1/2020,95253000000
4/1/2020,47006000000
5/1/2020,83774000000
6/1/2020,85416000000
7/1/2020,83539000000
8/1/2020,91524000000
9/1/2020,89996000000
10/1/2020,91618000000
11/1/2020,1.04853E+11
12/1/2020,1.25707E+11
1/1/2021,84671000000
2/1/2021,92993000000
3/1/2021,92786000000
4/1/2021,88006000000
5/1/2021,96403000000
6/1/2021,94509000000
7/1/2021,83111000000
8/1/2021,90406000000
9/1/2021,91986000000
10/1/2021,93427000000
11/1/2021,1.0715E+11
12/1/2021,1.2959E+11
1/1/2022,91515000000
2/1/2022,92392000000
3/1/2022,95269000000
4/1/2022,92263000000
5/1/2022,96689000000
6/1/2022,92772000000
7/1/2022,90860000000
8/1/2022,92525000000
9/1/2022,91670000000
10/1/2022,92424000000
11/1/2022,1.07935E+11
12/1/2022,1.27868E+11
1/1/2023,89596000000
2/1/2023,90677000000
3/1/2023,93900000000
4/1/2023,89871000000
5/1/2023,93897000000
6/1/2023,91113000000
7/1/2023,89990000000
8/1/2023,92208000000
9/1/2023,92624000000
10/1/2023,90138000000
